Game 1 of the NLC and a rematch of the NFC Championship game tomorrow SF 's go to be cuuuuhraaaaaaaazeeee  objective-OR-neutral 1 1 1 0 1 0 0 0 0 0 0 1 0 1 1 
||T|| the heat game may cost a lot more...and plu I would rather see Austin River play  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Never start work on your dream and goal tomorrow......tomorrow never comes....if it mean anyth to U ACT NOW !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| I had Vick and Flacco need an upgrad Vick may get benched Jen a back up again soon I thought it wa a win for me  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Look like Andi the Android may have had a littl too much fun yesterday ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| oooh nice T is tempt to go up the lake with my Nikon Hmmmm I may do that  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
BLACK FRIDAY Huge Save Aerial View of a City Pari La Vegas the La Vega Strip La Vegas,. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| ||T|| ||T|| Jenel lies,1st she said she wa alon &amp the hosp.now she 's say how weird it wa for Keiffer 's  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| LMFAO hi big ass get on my nerves you go to class tomorrow ?  negative 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 
Moham Morsi Egypt 's Muslim Brotherhood president instruct the Suprem Council of the Arm Forc Thursday. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
C'mon Avila ! You just got tag out by a guy who look like the kid Bill Murray wa research in The Royal Tenenbaum !  neutral 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| you think the Boro will beat Swansea ? I 'm not so sure December/Januari is when we implod  negative 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 
At the first Grammi Awards held on 4 May 1959 Domenico Modugno beat out Frank Sinatra and Peggi Lee for the Record of the Year,with Volar  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I have studi all day but tomorrow I 'm go out with friend ! e1 Omg Jennett did ? ! ! ! ! I 'm go to look ! &lt 3  positive 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 
Good morn Thursday Life is fragil We 're not guarante a tomorrow so give it everyth you 've got Tim Cook Do it for Job !  positive 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 
Mcfli come back to Argentina but thi time we want to come to mar del plata ! ! ! ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| anyth I wonder how the aspect between my sun/moon fair with my rise I also have Venu in Sag...yea laugh out loud Thank you e1  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
My teacher call themselv givng us candy....wa n't even the GOOD stuff I might go to Walmart or CV tomorrow/  negative 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 
Peyton Man name AFC Offens Player of the month It 's hi 5th such honor second to Tom Bradi 's 6 tie with TD  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| is bring out Kendrick Lamar the 6th of Decemb ! ? ! Get your ticket now !  objective-OR-neutral 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 
||T|| I may have an Android phone by the time I get back to school ! e1  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
Andr 's Wigan Warn Offici Site Wigan might current occupi 15th place in the Premier League,. ||U||  objective-OR-neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| strang enough I 'm go to see Noel Gallagh in concert tomorrow night  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
How are they go to act in new york with the subway out ? They better clutch it out like Eli Man 4th quarter  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
Homegrown talent miss on Sign Day Throughout most of the day on Wednesday the video scoreboard ||U||  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
taylor swift is come with ed sheeran june 29th ? most perf news i 've heard all night  positive 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
The great Noel Gallagh is about to hit the stage in St Paul Plenti of room here so we 're 4th row center Plenti of room Pretti fire up  positive 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| There are go to be plenti of up &amp down for Boro,Cardiff,Leicest etc until May.I hope we are still in with a shout for promo  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| that sucks amazon might have some left hate that i wo n't have it until 11am on Tuesday though  negative 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
Play as the Brown HC K Fri in XFacalac lost to the Raven 21-28 on All-Madden  neutral 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
||T|| Nooooooooo rosann ! They 've just restock them and me go oversea Sunday mean I ca n't afford them e-1  negative 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 
The pain is far deeper than a Billi cundiff miss field goal Got thank again wake up and forget about it tomorrow  neutral 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| on Novemb 16 be readi to head to the movi Break Dawn Part 2  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
after see ||T|| tweet about watch The Vow I think I may need to watch it  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
||T|| And the same station that will air new episod of COUGAR TOWN in Januari ! ||T|| ha been good to us Jordan  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Alex Poythress had 11 point and 7 rebound in hi debut with Kentucki dure an exhibit game on Thursday He play 28 minut  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
I think I may have a heart attack for Jason Wu 's new collect So Charlott Rampl in the Night http://t.co/2KRW4kTn  positive 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
If I can get my equip work correctli we will have a live show on Friday at 6 pm CST with contacte Ray. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Amaz concert tonight with Jim White and the TCU Jazz Ensemble/Faculti Jazz Combo ! Don't miss tomorrow night. ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
# Nation 9th Inning had that 4th Quarter feel did n't it ? Coulda swore I saw Cundiff shank one from the mound  neutral 0 0 1 0 0 1 1 1 1 0 0 1 0 0 0 
Capello say time for Russia to win big match Russia manag Fabio Capello on Thursday said that he intend to. ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
JACKAL GOAL ! Jimmi Martin sneak a rebound past Killeen to give Elmira a 2-1 lead Bushe &amp Bellami with the assists.1 09 left 2nd period  neutral 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Kick-off your weekend with servic ! EV ! 's Get on the Bu trip to the Boy &amp Girl Club is Friday from 3-6 ! Hope to see you there e1  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| Lmfao all right you got me there Good job Parker and the spurs see you all jan 9th If I get an extra ticket to that game your go  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Desper Day Februari 13th the most well known day in all men life  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| We have a similar circumst in Australia Jan 25 is Australia Day &amp mani First peopl call it Invas Day  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
paul-and5homo Harri and Loui are just fri Eleanor is such an inspira Harri is such a manwho Loui is. ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Appl software retail chief out in overhaul SAN FRANCISCO Reuter Appl Inc CEO Tim Cook on Monday replac the head of  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| Damn next Saturday though Nigga wa trynna get shit over with  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
and the 4th one is for Harri Style ! ! &lt 33333  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Blog Post MTV 's Teen Mom 2 Return for an Intens Third Season with Chelsea Jenelle Kailyn and Leah on Monday,. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
The Busi Leader 's Award ceremoni will be held dure the ||T|| annual meet in Davo on the 25 Januari 2013 ! ||U||  objective 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Hope to look FIT tomorrow on the Jeremi Kyle show  positive 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 
||T|| me you and joe gone chill Saturday of i come though  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Obma fail 2unit us he divid us by sex color,party,age wealth Nevada 's 1st Latino governor vote earli for Romney predict GOP win  negative 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
Grammi concert pay move tribut to Whitney Houston Whitney Houston wa given a final sendoff by the Grammi on Thursday as Halle.  positive 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
We talli up the vote and are announc the winner for Call All Commun ! Tune in ||U|| on Nov 1st at 11am CST  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
It 's Radio 1 Rock next week start off with a Live loung on ||T|| show with Bullet for my Valentin on Monday  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Drew Peterson is no more ! Check out these movi photo befor you watch on Sun at 7/6c ||U||  positive 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 
||T|| Instant Messag just a 19 year old still on loan for the 3rd time at coventri 79 overal hope when i return bale will still be ther  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
PUMP to open the season tomorrow night against Georgetown ! Women Preview ||U|| | Men 's Preview ||U||  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Just found a piec of candi that may have been inject with someth  negative 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Appl shakeup Mobil softwar boss eas out Appl Inc CEO Tim Cook on Monday push out the power head of the company&amp # 039 s mo.  objective-OR-neutral 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 
Somehow I manag to lose my princess leia bra on Saturday I 'm go to Noel Gallagh as Glock at Phish ie jorts&amp tank ||T||  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
||T|| I may relent and get one myself but I hope it doe n't come to that Hope all the decent app will get port to android  neutral 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 
Android 4.2 Camera applic with Photo Sphere now avail for Galaxi Nexu Introduc on Monday Android 4.2 bring. ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
SAEED BEP Ricki Martin and KT Tunstal ! Great song to get you through your Sunday ! Hate the rain ! ! ||U||  positive 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| ||T|| ||T|| Nope it 's just Camden eat Greek food with a pumpkin. Just anoth Wednesday  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
FAQ What is 'skeuomorph design and the execut shakeup at Appl SAN FRANCISCO CA MARCH 07 Appl CEO ||U||  objective 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Fact of the day Halloween night is Papa John 's second busiest night of the year behind Super Bowl Sunday  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Omg Ricki Martin may be gay but he is one fine ass gay man  positive 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| the Clipper are play the Cavali on Monday and are have a night to honor Israel ! e1 wish you were in LA STILL  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
Noel Gallagh Musician are fuck idiots Yeah Brian May he 's an idiot. an idiot who just so happen to be a professor ?  negative 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 
Vow is like to return from a midsumm break in the Prix de Royallieu at Longchamp on Saturday ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| Hell yeah lmfaoo &amp see you tomorrow Asia babi  positive 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| I want you to know that here in Argentina is go to make a direction fest 10 Novemb Team effort Amo TE AMO Team effort amo !  neutral 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
It Novemb already Christma will be here soon then New Year then Valentin 's day then GRADUAT ? ! ? !  neutral 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 
Michael Jackson She 's Out of My Life Live At Wembley Juli 16 ||U|| L.O.V it !  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Nigga be on the LAKER DICK...w still gon finish damn near first seed...whil year old team be struggl for the 8th spot  negative 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
||T|| ||T|| OCTOB peopl have principles..&amp argu passion for them about them &amp ACT on them Ghandi Sadat ADT me !  positive 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 
||T|| amber fantast news ! ! ! We will reunit with Barbara and jenel on Novemb 21st when teen mom 2 premier ! !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
I 'm in the bathroom bump Nigga In Pari Crunk ass hell like it 's my 1st time hear it thi song will never get old lol  positive 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
Just got ticket to see Muse in Florida That combin with the Grammi two week prior equal a realli busi Februari for Rubi and myself  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Battl for the 17th banner Royal Rumbl basketbal edit  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
4th Album out 6 Grammi Awards 10 AMAs 13 BMI Award ! Reign Entertain of the Year ACM ! #6YearsTaylorSwift  positive 1 0 1 1 0 0 0 1 0 0 1 1 0 0 1 
Smooch from Fido Yea or Nay ? Juli 6th wa Intern Kiss Day of the human sort Later in the month Ca. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
It 's midnight on the east coast which mean it ||T|| birthday ! HAPPi 20th BIRTHDAY NICK J ! ! ! ! ! ! ! ! ! ! &lt 333  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 
Appl CEO apolog for error-ridden new map app Appl CEO Tim Cook apolog Friday for the compani 's error-ridden new mobil map.  negative 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Monta Elli / Elli provid just five point on 2-of-13 shoot Thursday ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
When I teach a basketbal in my own school we 're go to spend the 1st day watch Larri Bird videos &amp the rest will take care of itself  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
AT&amp T offer free cloud storag for iO and Android AT&amp T on Thursday announc a new servic it call AT&amp T Locker th. ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
We are here ||T|| for our 12th Anniversari celebr You still have time to make it 6620 S King Dr  positive 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
||T|| I told you Shane would get hi 5th-star on Rival befor Sign Day ||T||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
||T|| Mitch are you free on Sunday to bale leav for an hour ? If not no big deal you can have them for anim  objective 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 
Love how I skip everi categori of the NTA 's besid the soap Could n't give half a fuck if everyth els went off the air tomorrow  positive 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 
||T|| ||T|| Wa in on sat and they onli had the Ray Lewi home jersey They did n't have a lot either  negative 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 
New York Giant Game-by-Gam Predict for the 2nd Half of the Season ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
C'mon Come On doe sound like Queen 's we will rock you somehow.  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Pick the Chelsea team to play Swansea Chelsea 's focu now turn back to the Premier Leagu and on Saturday we make. ||U||  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I just had a look and it seem Nash to Davo is a done deal along with Joe Thornton I may have to pay a visit.  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 
My mom just text me remind me that Grammi birthday tomorrow HOW COULD I EVER FORGET ?  positive 0 1 1 0 1 0 0 0 1 0 0 1 0 1 1 
at ariaclement Wow ! you 're also a perci jackson fan ! e1 The 4th book of Hero of Olympu will be entitl Hous of Hade ||T||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Esper will be without star player Youssef Msakni for the first leg of the Champion Leagu final against Al Ahli on Saturday  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| The Sun Paolo Di Canio say beat Aston Villa tonight would be like have sex with Madonna  negative 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
OBVIOUSLY i am not a fan of Dream High 2 and i have n't even watch it ! well i watch the 1st ep,that 's where i heard that song ! ^ ^  negative 1 1 1 0 1 0 1 0 0 0 1 1 0 0 1 
Black Histori Fact Marsali is the 1st and onli artist to win both classic and jazz Grammi Award in one year and to repeat the next year  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Watch David Letterman with no audienc but play like they are still there is the 2nd most brilliant thing I 've seen tonight  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
Gov Mitch Daniel will announc hi Indiana Suprem Court pick at 10 a.m Will the 3rd time be the charm for a femal member of the panel ?  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 
Most common night to order pizza NYE Jan 1 day befor Thanksgiving Super Bowl Sunday Halloween ||U||  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
The Grey and Yellow Gold Wed Puzzl is now up with the first piec be a uniqu two-ton dress by ||T|| ||U||  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
HARAKAH Iran armi monitor all ship in Gulf TEHRAN Oct 28 A senior command of the Islam Revolut Gu. ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
HT Norwich 0-0 We 've edg the 1st half without creat ani clear cut chanc Bale 's had a coupl of decent long rang effort  neutral 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Guys the Marijuana law in Colorado Oregon and Washington can pass thi Tuesday  positive 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Breezin won the Best Pop Instrument Perform at the 19th Grammi Award  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Not wear make up to Dublin tomorrow until I 'm get readi for the parti Help  negative 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Snow may fall for part of CNi the next few day Find out where the best chanc will be at 6 42 am on TV &amp onlin ||U||  neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
Cofield draw leadoff walk in top 4th Zaharion at the plate  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| aww my celebr day is thi thursday also go as Jennif Hudson though e1  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Sat down to watch Michael Jackson thi is it on DVD xx  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
On the set of the Axi of the Nigerian Economy air everi tuesday 8 30pm on NTA intern DSTV ||U||  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Text from my dad you like Charl Dicken 1 obv look at my amazon wish list too late for Sunday 2 whi th surpris ? !  positive 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 
Upset alert in ACC men 's soccer Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
realli bore of thi host on Super Sunday do noth but talk and rave about Man Utd  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
I may have miss out see Noel Field and Rich Fulcher today but I did just see Tom Tilley !  neutral 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 
Looper wa amaz ! ! ! Now to the theatr to see Simon Callow 's 'The Mysteri of Charl Dickens ...love my Wednesday off work e1  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
Negro and nigglettes all who would like to attend the a $ ap rocki concert on Novemb 17th at starland let me know ticket are onli 25  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
Wish Maddi luck next saturday she ha a solo audit for Britain 's Got Talent ! e1 ~ Elli xxxxx  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
% of Joe Pa mask at Penn State Sat ? Or will PSU by allow then in the stadium ? Is it bad to wear it ? ||T||  neutral 1 1 1 0 1 0 0 0 1 0 0 1 0 0 1 
||T|| that 's crazi I 'm more jealou of you go to Joe Pa 's grave ! I wa sad Saturday when I walk past where the statu should be  negative 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 
Mizzou commemor it win over Kentucki with a T-shirt No realli | Dr Saturday Yahoo ! Sport ||U||  positive 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 
||T|| laugh out loud that wa our onli year we may have had a chanc at the Superbowl Now we must wait until Nick Foley  neutral 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| Think a bolt action .30-06 may have to be in the card for Valentin 's Day or someth  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Happi Valentin 's Day ! ! ! ||T|| Everyday is the 14th !  positive 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 
||T|| it may be Indian time tonight Becki e1 xx  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Just watch The Campaign with Will Ferrel and Zack Galafianakis. Good fun for a Wednesday  positive 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| Season end with Superbowl in first week of Februari  objective 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
||T|| Your review remind me I still need 2 read the veri 1st Perci Jackson book ! Hero of Olympu is an offshoot seri from it ?  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 1 1 0 0 0 
Crazi I wa in a meet with an old NBA player that wa pick 3rd befor Larri Bird  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
As an introduct to Literatur we wrote about The Woman In Black not someth I particulalri want to read may just cri  negative 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 
||T|| ||T|| I did the other new is in today northern lights.... I get pay tomorrow !  objective 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 
Just finish rehears with ||T|| we are readi for the Kendrick Lamar show tomorrow shout out to WVU. ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
I post 12 photo on Facebook in the album Super Sunday with Shobhit Bhatia..... ||U||  objective 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
I been watch All-Access Kentucki everi wed and it ha been make me like these young dude on Kentucky  objective-OR-neutral 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 
Black Friday Deal Nikon D3200 24.2 Megapixel Digit SLR Camera with 18-55mm NIKKOR VR Lens Black &amp Nikon ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Han mon dieu le remix de I am the best dan Dream High 2 je meur XDDD  positive 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 
You do not want to miss thi tomorrow night RJ is move to Maryland soon and we have a truli epic set planned. ||U||  objective 1 1 1 1 0 0 1 0 0 0 0 1 0 0 1 
Do n't forget Mitch Daniel is go to be on Steven Colbert 's show Thursday Think thi will come up as a topic ?  neutral 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 
||T|| I would think you would do that if you are run for POTU It may be part of your job someday  neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| But how you gon handl it if you are announc ON SUPER BOWL SUNDAY ? ! ! You might put that gold back in year old grill  objective-OR-neutral 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 
||T|| I have plan to go to CV befor work today and get someth That may be what I get I 'm go to quarantin myself today  objective 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
iPhon 5 Appl CEO pledg to improv new map app Appl CEO Tim Cook apolog on Friday for the compani 's er. ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
Full Moon Oct 29th You can read more if you have your Sun Sign in Libra Scorpio Sag Cap Aqua or Pisc ||U||  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
Drew Peterson may be convicted but there is still conflict go on ||U||  neutral 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
||T|| Paterno wouldnt be charg All hearsay on him and he did do hi job minim as may be He report it Rest is specul  neutral 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
With all Benson 's attention Franki feel like a forgotten stepchild Let 'found father him so he know we will never forget 2nd place  negative 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
Police protest clash at Republ Day march in Turkey On a day mark the 89th anniversari of the found ||U||  negative 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 
I will be particip in a Googl + Hangout with ||T|| tomorrow ! I'm SUPER excit ! Check it out ||U||  positive 1 0 1 1 0 0 0 0 0 0 1 1 1 0 0 
